Cluster Name,Gaia DR3 Name,Membership Probability,Right Ascension (deg),Declination (deg),parallax (milli-arcseconds),GAIA g apparent mag,GAIA colour bp - rp,,,,,
NGC_2477,5538864699096770000,1,118.1275681,-38.64,0.7011,16.822319,1.333842,,,,,
NGC_2477,5538865832968130000,1,118.0989822,-38.6,0.6824,13.9990835,0.858741,,,,,
NGC_2477,5538865867327840000,1,118.1227164,-38.59,0.6823,13.952032,0.789786,,,,,
NGC_2477,5538865970407120000,1,118.065232,-38.59,0.6845,15.753217,1.119286,,,,,
NGC_2477,5538866176565530000,1,118.065129,-38.57,0.6642,15.063182,0.974371,,,,,
NGC_2477,5538865970407130000,1,118.0559458,-38.59,0.6946,13.97221,0.832346,,,,,
NGC_2477,5538865970407130000,1,118.0571199,-38.6,0.6762,15.728511,1.127276,,,,,
NGC_2477,5538866034824610000,1,118.0566158,-38.58,0.6741,17.274725,1.417917,,,,,
NGC_2477,5538506911142310000,1,117.9215605,-38.49,0.6775,14.078584,0.9645765,,,,,
NGC_2477,5538506876782470000,1,117.9330171,-38.49,0.6749,14.626157,1.005155,,,,,
NGC_2477,5538506739343540000,1,117.90849,-38.51,0.6863,16.113052,1.225223,,,,,
NGC_2477,5538506842422740000,1,117.9214349,-38.5,0.6925,12.220226,0.932311,,,,,
NGC_2477,5538507117300650000,1,117.8983467,-38.48,0.6735,15.3111105,1.109083,,,,,
NGC_2477,5538869745683980000,1,118.0962535,-38.49,0.6978,12.624355,0.6985535,,,,,
NGC_2477,5538870059215870000,1,118.0798182,-38.45,0.7013,14.633175,1.0001515,,,,,
NGC_2477,5538869887417230000,1,118.054431,-38.5,0.6813,13.782879,0.792103,,,,,
NGC_2477,5538869887417240000,1,118.049101,-38.5,0.6854,14.059539,0.9670915,,,,,
NGC_2477,5538869921776960000,1,118.0597177,-38.49,0.6651,15.200604,1.025403,,,,,
NGC_2477,5538869372021220000,1,118.0206684,-38.53,0.6799,14.512649,0.894249,,,,,
NGC_2477,5538869372021220000,1,118.0148726,-38.53,0.7011,14.656725,0.948703,,,,,
NGC_2477,5538869372021220000,1,118.0183444,-38.53,0.6992,12.981205,0.651014,,,,,
NGC_2477,5538869402075750000,1,118.0285554,-38.53,0.7066,14.237263,0.863026,,,,,
NGC_2477,5538869406380930000,1,118.0445705,-38.53,0.7033,12.080095,1.3858555,,,,,
NGC_2477,5538869367716010000,1,118.0069491,-38.53,0.6825,13.958637,0.78846,,,,,
NGC_2477,5538869337661510000,1,118.0009195,-38.55,0.6894,13.997074,0.78819,,,,,
NGC_2477,5538869303301740000,1,118.0248584,-38.54,0.7111,15.870505,1.120609,,,,,
NGC_2477,5538869303301800000,1,118.0259231,-38.55,0.7038,15.06117,0.995818,,,,,
NGC_2477,5538869337661500000,1,118.0093653,-38.54,0.6694,12.915653,0.70646,,,,,
NGC_2477,5538869337661500000,1,118.0066872,-38.55,0.6966,15.521752,1.021331,,,,,
NGC_2477,5538869440740650000,1,118.0487923,-38.51,0.6905,12.826206,0.866635,,,,,
NGC_2477,5538869543819850000,1,118.078108,-38.53,0.7001,15.022986,0.986695,,,,,
NGC_2477,5538869578179570000,1,118.0854143,-38.52,0.6917,14.676259,0.925414,,,,,
NGC_2477,5538869509460140000,1,118.0323976,-38.51,0.6932,13.6248255,0.781977,,,,,
NGC_2477,5538869475100420000,1,118.0271811,-38.52,0.6831,13.878993,0.823923,,,,,
NGC_2477,5538870093575750000,1,117.9973631,-38.53,0.6741,14.904424,0.983173,,,,,
NGC_2477,5538870608971790000,1,117.990993,-38.46,0.7017,15.018426,1.064958,,,,,
NGC_2477,5538870226709460000,1,118.0204014,-38.5,0.6901,11.865552,0.821546,,,,,
NGC_2477,5538870265374380000,1,118.030928,-38.49,0.6866,13.828356,0.835347,,,,,
NGC_2477,5538870265374390000,1,118.0237926,-38.49,0.6765,13.151339,0.904943,,,,,
NGC_2477,5538870265374390000,1,118.0168991,-38.49,0.6831,15.140272,1.01364,,,,,
NGC_2477,5538870123630250000,1,117.9994907,-38.51,0.6924,12.3031,0.786344,,,,,
NGC_2477,5538870123630250000,1,117.9993106,-38.52,0.6705,12.886527,0.727996,,,,,
NGC_2477,5538870127935470000,1,117.9987038,-38.51,0.6924,17.02685,1.322951,,,,,
NGC_2477,5538870157994350000,1,117.9860578,-38.52,0.6959,18.122736,1.619667,,,,,
NGC_2477,5538870299730300000,1,118.0131016,-38.49,0.6847,18.536547,1.83128,,,,,
NGC_2477,5538870505892580000,1,117.9895539,-38.48,0.6915,15.311236,1.080844,,,,,
NGC_2477,5538870540252300000,1,118.0020673,-38.47,0.6903,11.628993,1.466392,,,,,
NGC_2477,5538870334093850000,1,118.0197456,-38.47,0.671,13.096106,0.806722,,,,,
NGC_2477,5538870368453650000,1,117.9771381,-38.5,0.6835,15.956195,1.218701,,,,,
NGC_2477,5538866726321260000,1,118.110496,-38.51,0.6975,15.60374,1.113593,,,,,
NGC_2477,5538866520162870000,1,118.0966884,-38.55,0.6925,15.858955,1.112439,,,,,
NGC_2477,5538866623242070000,1,118.0937637,-38.53,0.689,10.458058,1.679959,,,,,
NGC_2477,5538866623238040000,1,118.0948844,-38.53,0.6884,17.047668,1.329083,,,,,
NGC_2477,5538869062783590000,1,118.0203141,-38.56,0.6777,13.308725,0.731889,,,,,
NGC_2477,5538869097143310000,1,118.0397972,-38.55,0.669,13.130747,0.681398,,,,,
NGC_2477,5538869200222590000,1,118.0424854,-38.54,0.6889,14.665594,0.993549,,,,,
NGC_2477,5538869230283460000,1,118.0651901,-38.53,0.6724,13.410716,0.780682,,,,,
NGC_2477,5538869234582210000,1,118.0649121,-38.52,0.6994,12.584878,0.732561,,,,,
NGC_2477,5538869131503030000,1,118.0570932,-38.55,0.6732,14.596979,0.919914,,,,,
NGC_2477,5538869131503030000,1,118.0579992,-38.56,0.6736,14.652081,0.9138795,,,,,
NGC_2477,5538493545203800000,1,118.000755,-38.61,0.6976,15.050359,1.080049,,,,,
NGC_2477,5538493751362400000,1,118.0155123,-38.58,0.7018,14.158669,0.843028,,,,,
NGC_2477,5538493785721950000,1,117.9694001,-38.61,0.7016,12.995518,0.760673,,,,,
NGC_2477,5538493682642910000,1,118.0311332,-38.59,0.6756,11.221507,0.312567,,,,,
NGC_2477,5538494816514300000,1,117.9611353,-38.54,0.6981,11.891389,0.726271,,,,,
NGC_2477,5538494846569000000,1,117.9665647,-38.53,0.6859,15.62665,1.148109,,,,,
NGC_2477,5538494644715710000,1,117.9631357,-38.56,0.6798,14.881318,0.927311,,,,,
NGC_2477,5538494850874020000,1,117.9795232,-38.53,0.6925,12.539389,0.74297,,,,,
NGC_2477,5538495057032460000,1,117.9609905,-38.51,0.691,13.277126,0.840638,,,,,
NGC_2477,5538495057032470000,1,117.9597453,-38.52,0.6761,13.089137,0.666308,,,,,
NGC_2477,5538495022668580000,1,117.9435117,-38.53,0.6792,18.230068,1.746916,,,,,
NGC_2477,5538494984007990000,1,117.9370614,-38.53,0.6913,14.722557,0.942836,,,,,
NGC_2477,5538494988313020000,1,117.9247368,-38.53,0.6906,12.711356,0.76978,,,,,
NGC_2477,5538494193733680000,1,117.9248643,-38.59,0.6865,18.239183,1.749609,,,,,
NGC_2477,5538494198038780000,1,117.9336828,-38.6,0.6713,13.155695,0.888432,,,,,
NGC_2477,5538494266758230000,1,117.9125465,-38.58,0.6862,14.529237,0.926482,,,,,
NGC_2477,5538490418467660000,1,118.052179,-38.63,0.7077,12.108682,0.7363785,,,,,
NGC_2477,5538490727705410000,1,118.0376884,-38.6,0.7107,12.416719,0.807166,,,,,
NGC_2477,5538490689039430000,1,118.0253326,-38.62,0.6696,13.490481,0.741943,,,,,
NGC_2477,5538882325642640000,1,117.9746244,-38.46,0.6838,14.305229,1.010759,,,,,
NGC_2477,5538870505892570000,0.99928486,118.003271,-38.48,0.692,11.931829,1.460893,,,,,
NGC_2477,5538869646899040000,0.99835155,118.0815794,-38.49,0.6611,15.339164,1.031366,,,,,
NGC_2477,5538866932479610000,0.99792696,118.2357001,-38.55,0.6783,13.950281,0.873795,,,,,
NGC_2477,5538866554522580000,0.99792696,118.1169754,-38.54,0.6787,13.370077,0.720003,,,,,
NGC_2477,5538493682642910000,0.99469933,118.0253409,-38.58,0.6806,13.539188,0.802583,,,,,
NGC_2477,5538493613923460000,0.99433157,117.9995381,-38.59,0.6938,13.68847,0.876494,,,,,
NGC_2477,5538869372021220000,0.99424567,118.0187821,-38.52,0.7119,15.497672,1.043701,,,,,
NGC_2477,5538506395746180000,0.99128588,117.8815065,-38.53,0.6844,14.07653,0.905084,,,,,
NGC_2477,5538882256923130000,0.99070475,117.9391223,-38.46,0.6884,13.25212,0.797588,,,,,
NGC_2477,5538495057032470000,0.98713731,117.9556635,-38.52,0.6784,14.183982,0.873857,,,,,
NGC_2477,5538494915287240000,0.98713731,117.941305,-38.55,0.6878,13.665389,0.779253,,,,,
NGC_2477,5538490723405220000,0.98573019,118.0363096,-38.61,0.6849,18.493616,1.76612,,,,,
NGC_2477,5538866309699300000,0.98461452,118.1086494,-38.56,0.6929,12.725667,0.697559,,,,,
NGC_2477,5538869303301740000,0.98370021,118.0256016,-38.53,0.6998,12.209301,0.71354,,,,,
NGC_2477,5538866618943350000,0.9828701,118.1047013,-38.53,0.676,13.466383,0.7422615,,,,,
NGC_2477,5538866039126610000,0.98267107,118.050853,-38.59,0.6813,15.444265,1.0798795,,,,,
NGC_2477,5538866348364150000,0.97971915,118.1256384,-38.55,0.6751,15.431362,1.0339145,,,,,
NGC_2477,5538864694794770000,0.97888019,118.1263439,-38.65,0.6766,17.480621,1.628099,,,,,
NGC_2477,5538114694729030000,0.97854758,118.2112396,-38.59,0.6743,14.89733,1.05987,,,,,
NGC_2477,5538116275276960000,0.97805545,118.2723597,-38.56,0.6796,14.031984,0.977744,,,,,
NGC_2477,5538865936047460000,0.97785555,118.1060741,-38.58,0.6938,14.0379925,0.816931,,,,,
NGC_2477,5538869749978240000,0.97769101,118.092488,-38.5,0.6903,14.707672,0.922425,,,,,
NGC_2477,5538493678336660000,0.97584427,118.0291108,-38.58,0.6998,12.165841,0.720757,,,,,
NGC_2477,5538882497441300000,0.97523676,117.9349398,-38.44,0.6893,14.101963,0.927384,,,,,
NGC_2477,5538506601904610000,0.97468644,117.869634,-38.52,0.6811,13.343045,0.82144,,,,,
NGC_2477,5538869367726860000,0.97240362,118.0169823,-38.52,0.692,13.708071,0.861457,,,,,
NGC_2477,5538869406380940000,0.97227207,118.0330122,-38.52,0.7138,15.857723,1.095165,,,,,
NGC_2477,5538493987575400000,0.97227207,117.9765459,-38.56,0.7036,17.600777,1.506,,,,,
NGC_2477,5538489593833960000,0.97004886,118.0669838,-38.65,0.6765,14.236416,0.878259,,,,,
NGC_2477,5538506704983810000,0.96660129,117.9007031,-38.52,0.6912,16.462154,1.247803,,,,,
NGC_2477,5538493820081890000,0.96542455,117.988025,-38.58,0.6767,15.647354,1.077652,,,,,
NGC_2477,5538495057032460000,0.96400576,117.9569506,-38.51,0.7056,15.632155,1.105534,,,,,
NGC_2477,5538508251172020000,0.96185325,117.8623679,-38.42,0.691,16.44595,1.333333,,,,,
NGC_2477,5538865455010950000,0.96183881,118.1560472,-38.59,0.6913,13.180393,0.7560905,,,,,
NGC_2477,5538506906835920000,0.96180844,117.9187036,-38.48,0.6921,12.985951,0.942499,,,,,
NGC_2477,5538490624626080000,0.96153264,118.042981,-38.62,0.6915,14.673186,0.976925,,,,,
NGC_2477,5538494301117970000,0.95946203,117.9252869,-38.57,0.6858,14.408821,1.017015,,,,,
NGC_2477,5538869337661500000,0.95734586,118.0007587,-38.54,0.6862,13.783143,0.83261,,,,,
NGC_2477,5538869612539320000,0.95566417,118.0738924,-38.51,0.6791,13.996882,0.851364,,,,,
NGC_2477,5538870059215870000,0.95448659,118.0827747,-38.46,0.6951,16.337196,1.292578,,,,,
NGC_2477,5538866588882340000,0.95335195,118.0928707,-38.54,0.6916,14.663852,0.903592,,,,,
NGC_2477,5538869161563980000,0.95335195,118.0733963,-38.54,0.6804,13.650919,0.733996,,,,,
NGC_2477,5538869883118500000,0.95320738,118.0559116,-38.49,0.6671,18.139502,1.716686,,,,,
NGC_2477,5538865351931880000,0.95058477,118.1810171,-38.6,0.6831,15.36332,1.074962,,,,,
NGC_2477,5538867104278320000,0.94978982,118.2045565,-38.55,0.6725,15.378264,1.053906,,,,,
NGC_2477,5538865695529220000,0.94973998,118.0721549,-38.62,0.7032,16.856253,1.328104,,,,,
NGC_2477,5538506327026700000,0.94927821,117.8931945,-38.54,0.6841,12.965873,0.753193,,,,,
NGC_2477,5538869921776950000,0.94874233,118.0577792,-38.47,0.6831,16.210278,1.202708,,,,,
NGC_2477,5538506563239810000,0.9471233,117.8533489,-38.53,0.6742,16.704193,1.335651,,,,,
NGC_2477,5538866657601770000,0.94562119,118.1305995,-38.53,0.665,13.682185,0.828319,,,,,
NGC_2477,5538869539521100000,0.94285981,118.0859562,-38.52,0.7203,15.688076,1.095802,,,,,
NGC_2477,5538870196654950000,0.94217308,117.9958445,-38.51,0.6962,13.099079,0.742848,,,,,
NGC_2477,5538883425154230000,0.94192712,117.9272584,-38.42,0.6801,13.758227,0.897969,,,,,
NGC_2477,5538869951831550000,0.94138421,118.0732361,-38.48,0.6795,14.902328,0.988347,,,,,
NGC_2477,5538490452827500000,0.94089593,118.0600996,-38.62,0.7153,15.5957155,1.1354535,,,,,
NGC_2477,5538506567544510000,0.9406788,117.8647963,-38.54,0.6861,14.671882,0.946348,,,,,
NGC_2477,5538870952569120000,0.94036729,118.0204912,-38.45,0.6887,13.706485,0.894553,,,,,
NGC_2477,5538869092838110000,0.94011281,118.0341581,-38.56,0.6946,12.769902,0.7390645,,,,,
NGC_2477,5538493991880580000,0.94006887,117.9762772,-38.57,0.7084,14.623205,1.08716,,,,,
NGC_2477,5538870231017440000,0.94000073,118.0220884,-38.51,0.6905,15.606592,1.104683,,,,,
NGC_2477,5538869062783590000,0.93854599,118.0272812,-38.56,0.7041,11.808885,1.308004,,,,,
NGC_2477,5538114488570610000,0.93837204,118.2086859,-38.63,0.6853,14.570734,0.993961,,,,,
NGC_2477,5538493682642920000,0.93654212,118.016913,-38.59,0.7185,12.735075,0.675129,,,,,
NGC_2477,5538493682642920000,0.93648127,118.0191008,-38.59,0.717,17.187103,1.392337,,,,,
NGC_2477,5538866073486330000,0.93574386,118.0574338,-38.58,0.6729,16.958971,1.318009,,,,,
NGC_2477,5538866417083590000,0.9340102,118.1527921,-38.54,0.655,14.478568,0.997262,,,,,
NGC_2477,5538508285531760000,0.93144344,117.8504489,-38.42,0.6794,13.0763,0.915022,,,,,
NGC_2477,5538494232398510000,0.92906534,117.9408406,-38.59,0.6846,14.973896,1.0304925,,,,,
NGC_2477,5538869058478380000,0.9271689,118.0237823,-38.57,0.6783,13.258751,0.783008,,,,,
NGC_2477,5538866588882350000,0.92689146,118.0885001,-38.54,0.6767,14.000534,0.776744,,,,,
NGC_2477,5538493682642910000,0.92654773,118.0257327,-38.58,0.6697,13.472028,0.7294985,,,,,
NGC_2477,5538493579565650000,0.92553751,117.9826634,-38.6,0.6962,12.770156,0.814407,,,,,
NGC_2477,5538493923161100000,0.92519215,117.989569,-38.58,0.6958,16.898697,1.2963,,,,,
NGC_2477,5538489353315830000,0.92383148,118.100736,-38.67,0.7,14.54844,1.000588,,,,,
NGC_2477,5538870093575750000,0.92376778,117.994602,-38.54,0.6691,13.331062,0.7216355,,,,,
NGC_2477,5538882737959400000,0.92336547,117.9954857,-38.43,0.682,14.225229,0.9644065,,,,,
NGC_2477,5538869543819850000,0.92227749,118.0717158,-38.53,0.6639,16.15909,1.186368,,,,,
NGC_2477,5538493923161100000,0.92227749,117.9954119,-38.58,0.6751,13.451128,0.684599,,,,,
NGC_2477,5538870540248430000,0.92016521,118.0029996,-38.46,0.6945,19.669472,1.781376,,,,,
NGC_2477,5538866520162850000,0.91916296,118.1056722,-38.54,0.7031,16.90749,1.319924,,,,,
NGC_2477,5538494679075370000,0.91843784,117.9460013,-38.56,0.6974,11.059881,1.308227,,,,,
NGC_2477,5538870093575750000,0.91803801,117.987937,-38.53,0.7187,14.276526,0.9692375,,,,,
NGC_2477,5538871571044330000,0.91796748,118.1004008,-38.43,0.6819,15.751845,1.17334,,,,,
