Cluster Name,Gaia DR3 Name,Membership Probability,Right Ascension (deg),Declination (deg),parallax (milli-arcseconds),GAIA g apparent mag,GAIA colour bp - rp
NGC_2682,604918316549770000,1,132.9855281,11.8,1.178,13.816404,0.770853
NGC_2682,604918316549770000,1,132.981559,11.81,1.155,13.733011,0.849861
NGC_2682,604918247830313000,1,132.8747992,11.85,1.161,13.943488,0.797421
NGC_2682,604918247830309000,1,132.8829384,11.85,1.155,13.85127,0.801016
NGC_2682,604919690939411000,1,132.9140578,11.86,1.165,11.871005,1.156933
NGC_2682,604917796857988000,1,132.8992721,11.81,1.152,13.462918,0.7534195
NGC_2682,604917766793981000,1,132.8856767,11.81,1.156,14.014697,0.791453
NGC_2682,604917732434252000,1,132.8478811,11.82,1.147,15.922245,1.215419
NGC_2682,604917698074587000,1,132.8400305,11.82,1.197,14.996793,0.966908
NGC_2682,604917698073662000,1,132.8329045,11.81,1.201,18.737257,-0.524195
NGC_2682,604917629355042000,1,132.8449655,11.8,1.158,10.169919,1.236659
NGC_2682,604917629355041000,1,132.8421994,11.81,1.169,15.436183,1.127803
NGC_2682,604917629355039000,1,132.8454254,11.81,1.164,12.549206,0.734937
NGC_2682,604917629355039000,1,132.8503111,11.81,1.156,12.679014,0.744835
NGC_2682,604917629355038000,1,132.8552415,11.8,1.166,13.985338,0.89904
NGC_2682,604917831217725000,1,132.8773505,11.82,1.173,12.542159,0.767435
NGC_2682,604918144751101000,1,132.870746,11.84,1.179,10.236862,1.257942
NGC_2682,604918140455367000,1,132.8663975,11.84,1.168,14.234067,0.84249
NGC_2682,604918110391371000,1,132.851504,11.83,1.154,14.8868475,0.949667
NGC_2682,604917938592657000,1,132.9245157,11.83,1.155,14.765704,0.91894
NGC_2682,604917869873191000,1,132.8939423,11.82,1.14,15.193318,1.200717
NGC_2682,604917865577462000,1,132.892781,11.83,1.158,12.715951,0.704548
NGC_2682,604917835513459000,1,132.8778161,11.81,1.185,15.566227,1.067028
NGC_2682,604917835513457000,1,132.8857601,11.81,1.123,11.031843,0.28443
NGC_2682,604922920754526000,1,132.9022017,11.91,1.168,14.985489,0.995654
NGC_2682,604920515573076000,1,132.8008921,11.81,1.171,13.754309,0.755719
NGC_2682,604921679508386000,1,132.749148,11.85,1.155,14.645685,0.891902
NGC_2682,604921580724746000,1,132.846387,11.9,1.162,14.013014,0.7980435
NGC_2682,604921512005269000,1,132.8566443,11.89,1.145,15.330952,1.042837
NGC_2682,604921512005266000,1,132.8642051,11.89,1.134,12.605678,0.747952
NGC_2682,604922783315580000,1,132.8829055,11.89,1.165,15.21319,1.030603
NGC_2682,604922779020037000,1,132.8830724,11.89,1.16,12.938089,0.73738
NGC_2682,604922779020037000,1,132.8799358,11.89,1.15,13.567353,0.762956
NGC_2682,604922164840317000,1,132.8028385,11.88,1.177,10.222875,1.239019
NGC_2682,604920515573078000,1,132.8000549,11.81,1.178,14.689736,0.8942915
NGC_2682,604921408926071000,1,132.8142771,11.87,1.126,14.823226,0.9218045
NGC_2682,604920824810533000,1,132.784891,11.84,1.147,13.431571,0.747141
NGC_2682,604920756091232000,1,132.8209501,11.85,1.166,10.845772,1.2352
NGC_2682,604920756091231000,1,132.8273332,11.84,1.162,15.270044,1.251969
NGC_2682,604920687371752000,1,132.8338074,11.84,1.139,13.801401,0.761326
NGC_2682,604920683076006000,1,132.8291867,11.83,1.149,12.390369,0.769754
NGC_2682,604920653012021000,1,132.8202116,11.83,1.146,15.765214,1.414069
